Scraped_URL,Type,Price,Bath(s),Area,Purpose,Bedroom(s),Added,Location,Description,Amenities: Main Features,Amenities: Rooms,Amenities: Business and Communication,Amenities: Community Features,Amenities: Healthcare Recreational,Amenities: Nearby Locations and Other Facilities,Amenities: Other Facilities,Initial Amount,Monthly Installment,Remaining Installments
https://www.zameen.com/Property/dha_defence_phase_2_goldcrest_highlife_one_bedroom_flat_for_sale_in_goldcrest_highlife_1_near_giga_mall_world_trade_center_dha_phase_2_islamabad-53285064-21059-1.html,Flat,PKR80 Lakh,1,3.9 Marla,For Sale,1,3 weeks ago,"DHA Defence, Islamabad, Islamabad Capital","Luxury Apartment In Prime Location In DHA Phase 2 Islamabad. Goldcrest Highlife-1 One Bedroom Apartment Floor 4th Area 870 Sq. Ft Total Price Rs. = 8,000,000/- Upfront payment = 5,000,000/- Grey Structure 100%Complete Possession In 2027 Highly recommended for investment also for Good ROI Goldcrest Highlife Is Another Mega Project By The World Renown Giga Group. This Project Is Being Developed 1 Km Inwards From The Main GT Road And Giga Mall In Sector A, DHA 2, Islamabad. Goldcrest Highlife Is A Real Estate Luxurious Investment And Lifestyle Project, With Standout Features. This Project Is Launched And Developed By Giga Group In The Heart Of Sector A, DHA Phase-II Islamabad. Goldcrest Highlife Offers Striking Architecture, World-Class Amenities, And Breathtaking Views. Each Unit Offers Breathtaking Views With Matchless Interior Finishes And Thoughtful Details With Only The Finest Materials Used In The Development, Offering A Unique And Unheard-Of Luxury Experience For The First Time In Pakistan. All The World-Class Features And Facilities Are Available In Goldcrest Highlife. The Rooftop Facilities Of Goldcrest Highlife Include Kids Playing Areas, Gyms, Gardens, Swimming Pools, Relaxation Areas, Health Clubs, And Sitting Areas. The BBQ Areas, Jogging Walking Tracks, Sitting Areas, A Mosque, And Fountains Are Also Available On The Rooftop For The Owners Of The Residential Units. Rooftop Amenities Infinity Swimming Pool, Relaxation Lounge, Juice Bar, Health Club, Gymnasium, Seating Area &Amp; Garden. Podium Level Mosque, Children Play Areas, Barbeque Area, Jogging Track, Water Bodies &Amp; Fountains, Garden. Standard Features 1, 2, 3-Bed Apartments, Community Center, Power Backup, Covered Car Parking, 24-Hours CCTV Security And Surveillance, Fully Furnished Apartments (Optional), Prime Location Of DHA 2 Islamabad. For More Information Contact Please On Above Written Cell No.","Built in year: 2027, Parking Spaces: 1, Lobby in Building, Double Glazed Windows, Central Air Conditioning, Central Heating, Flooring, Electricity Backup, Waste Disposal, Floor: 4, Floors in Building: 34, Elevators: 5, Service Elevators in Building, Other Main Features","Bedrooms: 1, Bathrooms: 1, Servant Quarters: 1, Drawing Room, Dining Room, Kitchens: 1, Study Room, Prayer Room, Powder Room, Gym, Store Rooms: 1, Steam Room, Lounge or Sitting Room, Laundry Room","Broadband Internet Access, Satellite or Cable TV Ready, Business Center or Media Room in Building, Conference Room in Building, Intercom, ATM Machines, Other Business and Communication Facilities","Community Lawn or Garden, Community Swimming Pool, Community Gym, First Aid or Medical Centre, Day Care Centre, Kids Play Area, Barbeque Area, Mosque, Community Centre, Other Community Facilities","Sauna, Jacuzzi, Other Healthcare and Recreation Facilities","Nearby Schools, Nearby Hospitals, Nearby Shopping Malls, Nearby Restaurants, Distance From Airport (kms), Nearby Public Transport Service, Other Nearby Places","Maintenance Staff, Security Staff, Laundry or Dry Cleaning Facility, Communal/Shared Kitchen, Facilities for Disabled, Pets Allowed, Other Facilities",,,
https://www.zameen.com/Property/islamabad_e-11_e-11_3_npf_500_square_yards_full_basement_9_bedrooms_price_16_50_crores-53306121-329-1.html,House,PKR16 Crore,7,1 Kanal,For Sale,8,4 weeks ago,"E-11, Islamabad, Islamabad Capital","**E-11/3 (NPF): 500 Square Yards, Full Basement, 9 Bedrooms, Price 16 Crores** 500 square yards house with full basement Total 9 bedrooms Suitable for a single big family or three separate families Peaceful and calm location Ideal for residential comfort Price: 16 Crores Contact: Miss Amber, Rapid Realtors","Built in year, Parking Spaces, Double Glazed Windows, Central Air Conditioning, Central Heating, Flooring, Electricity Backup, Waste Disposal, Floors, Other Main Features","Bedrooms, Bathrooms, Servant Quarters, Drawing Room, Dining Room, Kitchens, Store Rooms, Other Rooms","Broadband Internet Access, Satellite or Cable TV Ready, Intercom, Other Business and Communication Facilities",,,"Nearby Schools, Nearby Hospitals, Nearby Shopping Malls, Nearby Restaurants, Distance From Airport (kms), Nearby Public Transport Service, Other Nearby Places","Security Staff, Other Facilities",,,
https://www.zameen.com/Property/dha_phase_5_sector_h_askari_heights_4_askari_heights-4_open_view_apartment_for_sale_on_investor_price-53144778-21450-1.html,Flat,PKR2.6 Crore,4,11 Marla,For Sale,3,1 month ago,"DHA Defence, Islamabad, Islamabad Capital",its a ground plus 12 stories building under ground parking -1 cargo -2 passengers lifts 3 bedrooms with attached washroom Tv lounge kitchen DID store room powder room servant room with attached washroom laundry area ceiling done in apartment park mosque best environment for living purposes,"Built in year: 2025, Parking Spaces: 1, Double Glazed Windows, Central Air Conditioning, Central Heating, Flooring, Electricity Backup, Waste Disposal, Floor, Floors in Building: 1, Elevators: 2, Service Elevators in Building, Other Main Features","Bedrooms: 5, Bathrooms: 5, Servant Quarters: 1, Drawing Room, Dining Room, Kitchens: 1, Study Room, Prayer Room, Powder Room, Gym, Store Rooms: 1, Steam Room, Lounge or Sitting Room, Laundry Room, Other Rooms","Broadband Internet Access, Satellite or Cable TV Ready, Intercom, ATM Machines, Other Business and Communication Facilities","Community Lawn or Garden, Community Swimming Pool, Community Gym, First Aid or Medical Centre, Day Care Centre, Kids Play Area, Barbeque Area, Mosque, Community Centre, Other Community Facilities","Sauna, Jacuzzi, Other Healthcare and Recreation Facilities","Nearby Schools, Nearby Hospitals, Nearby Shopping Malls, Nearby Restaurants, Distance From Airport (kms), Nearby Public Transport Service, Other Nearby Places","Maintenance Staff, Security Staff, Facilities for Disabled, Other Facilities",,,
https://www.zameen.com/Property/dha_defence_phase_2_askari_tower_1_askari_15_open_view_apartment_for_sale_in_lush_condition-53256355-10663-1.html,Flat,PKR3.5 Crore,5,11.4 Marla,For Sale,3,19 hours ago,"DHA Defence, Islamabad, Islamabad Capital","Askari -15 Tower -1 6th floor open view with giga view apartment in very lush condition very less use due to overseas owner its three bedroom apartment with attach washroom servant room, which separate entrance To lifts with generator backup Ground plus 7 store in building Near to Giga Mall and Central Park and JFC CLUB FOR MORE DETAILS, CONTACT WITH US DHANIAL ENTERPRISES","Built in year: 2026, Central Air Conditioning, Central Heating, Flooring, Electricity Backup, Floor: 3, Floors in Building: 21, Elevators: 8, Service Elevators in Building, Other Main Features",,"Broadband Internet Access, Satellite or Cable TV Ready, ATM Machines, Other Business and Communication Facilities","Community Lawn or Garden, Community Swimming Pool, Community Gym, First Aid or Medical Centre, Day Care Centre, Kids Play Area, Barbeque Area, Mosque, Community Centre, Other Community Facilities",,"Nearby Schools, Nearby Hospitals, Nearby Shopping Malls, Nearby Restaurants, Distance From Airport (kms), Nearby Public Transport Service, Other Nearby Places","Maintenance Staff, Security Staff, Other Facilities",,,
https://www.zameen.com/Property/islamabad_karakoram_diplomatic_enclave_fully_furnished_3_bedrooms_luxury_apartment_available_for_sale-53162847-9063-1.html,Flat,PKR13.25 Crore,4,11.3 Marla,For Sale,3,4 days ago,"Karakoram Diplomatic Enclave, Islamabad, Islamabad Capital","FULLY FURNISHED 03 BEDROOMS, Drawing Dining Room Kitchen Store Powder Room Laundry Tails Floor Size 2550 sft* Without Servant. Parking in Basement. VIEW SIDES East/ Murree South- East/ Rawal lake. If you Meed More Details Or Need Other Opinions kindly Contact MJ Associate. .","Built in year: 2021, Parking Spaces: 1, Lobby in Building, Double Glazed Windows, Central Air Conditioning, Central Heating, Flooring, Electricity Backup, Waste Disposal, Floor: 4, Floors in Building, Elevators, Service Elevators in Building, Furnished","Bedrooms: 3, Bathrooms: 4, Drawing Room, Dining Room, Kitchens, Study Room, Prayer Room, Powder Room, Gym, Store Rooms, Lounge or Sitting Room, Laundry Room","Broadband Internet Access, Satellite or Cable TV Ready, Business Center or Media Room in Building, Conference Room in Building, Intercom, ATM Machines","Community Lawn or Garden, Community Swimming Pool, Community Gym, First Aid or Medical Centre, Day Care Centre, Kids Play Area, Barbeque Area, Mosque, Community Centre","Sauna, Jacuzzi","Nearby Schools, Nearby Hospitals, Nearby Shopping Malls, Nearby Restaurants, Distance From Airport (kms), Nearby Public Transport Service, Other Nearby Places","Maintenance Staff, Security Staff, Laundry or Dry Cleaning Facility, Pets Not Allowed, Other Facilities",,,
https://www.zameen.com/Property/b_17_mpchs_-_multi_gardens_luxurious_penthouse_for_sale_in_b17_multi_gardens_islamabad-53071298-3115-1.html,Penthouse,PKR4 Crore,3,16.9 Marla,For Sale,3,1 month ago,"B-17, Islamabad, Islamabad Capital","Luxurious Penthouse for Sale B-17 Multi Gardens, Islamabad Experience elevated living in this exclusive penthouse located in the heart of B-17, Multi Gardens, Islamabad. Offering a rare blend of comfort, elegance, and breathtaking views, this property is the epitome of high-end urban living. Key Features: Panoramic Margalla Hills View Wake up to serene, uninterrupted views of Islamabads iconic Margalla Hills. Spacious & Stylish Layout Designed with modern aesthetics and functionality in mind. 2 Dedicated Cargo Lifts Ensuring ease and convenience for residents and service needs. High-speed passenger elevators Prime Location in B-17 Secure, well-developed sector with all amenities within easy reach. Whether you're looking for a personal residence or a valuable investment, this penthouse offers unmatched luxury in one of Islamabads most sought-after areas. call Now View Contact Detail",,,,,,,,,,
https://www.zameen.com/Property/islamabad_g-13_brand_new_house_for_sale_size_7_marla_house_in_g13-52994805-330-1.html,House,PKR6.7 Crore,6,7 Marla,For Sale,6,1 month ago,"G-13, Islamabad, Islamabad Capital","Brand New House For Sale Size 7 Marla In G13. 6 Bedrooms Attached Bathroom,2 Kitchens, 2 Tv lounge And 1 Servent Bathroom Attached Bathroom. 2 Car Parking, Gas, Electric And Warer Available. Beautiful location, Near To Market,School's, Nust University, Quiad azam hospital and Near To Airport .",,,,,,,,,,
https://www.zameen.com/Property/gulberg_gulberg_residencia_10_marla_brand_new_house_gulberg_residencia_islamabad-52994673-8319-1.html,House,PKR5.15 Crore,6,10 Marla,For Sale,5,2 days ago,"Gulberg, Islamabad, Islamabad Capital",Gulberg Residencia Block 10 MARLA BRAND NEW DOUBLE STOREY HOUSE FOR SALE Heighted PRIME Location NEAR To MAIN Double Road 5 BED ROOM 6 WASHROOM 2 Kitchen 2 TV LOUNGE 2 Drawing Room 2 CAR PARKING 1 WATER Boor MY CONTACT Number,"Built in year: 2025, Parking Spaces: 4, Double Glazed Windows, Central Air Conditioning, Central Heating, Flooring, Electricity Backup, Waste Disposal, Floors: 2, Other Main Features, Furnished","Bedrooms: 5, Bathrooms: 6, Servant Quarters: 2, Drawing Room, Dining Room, Kitchens: 3, Study Room, Prayer Room, Powder Room, Gym, Store Rooms: 1, Steam Room, Lounge or Sitting Room, Laundry Room","Broadband Internet Access, Satellite or Cable TV Ready, Intercom","Community Lawn or Garden, Community Swimming Pool, Community Gym, First Aid or Medical Centre, Day Care Centre, Kids Play Area, Barbeque Area, Mosque, Community Centre","Lawn or Garden, Swimming Pool, Sauna, Jacuzzi","Nearby Schools, Nearby Hospitals, Nearby Shopping Malls, Nearby Restaurants, Distance From Airport (kms), Nearby Public Transport Service, Other Nearby Places","Maintenance Staff, Security Staff, Facilities for Disabled, Other Facilities",,,
https://www.zameen.com/Property/al_ghurair_giga_al-ghurair_giga_-_block_16_brand_new_3_bedroom_apartment_for_sale-52448350-15120-1.html,Flat,PKR1.5 Crore,3,5.1 Marla,For Sale,3,3 weeks ago,"DHA Defence, Islamabad, Islamabad Capital",property features Al Ghurair GIGA Block 16 ( overseas) 3 bedroom attached bath TV lounge kitchen huge terrace open view reserved car parking heavy duty lifts swimming pool & play area for kids at roof top maintenance staff security staff for further details & visit please contact:,"Built in year: 2024, Parking Spaces: 2, Lobby in Building, Double Glazed Windows, Central Air Conditioning, Central Heating, Flooring, Electricity Backup, Waste Disposal, Floor: 5, Floors in Building: 10, Elevators: 2, Service Elevators in Building, Other Main Features, Furnished","Bedrooms: 3, Bathrooms: 3, Servant Quarters: 2, Drawing Room, Dining Room, Kitchens: 1, Study Room, Prayer Room, Powder Room, Gym, Store Rooms: 1, Steam Room, Lounge or Sitting Room, Laundry Room, Other Rooms","Broadband Internet Access, Satellite or Cable TV Ready, Business Center or Media Room in Building, Conference Room in Building, Intercom, ATM Machines, Other Business and Communication Facilities","Community Lawn or Garden, Community Swimming Pool, Community Gym, First Aid or Medical Centre, Day Care Centre, Kids Play Area, Barbeque Area, Mosque, Community Centre, Other Community Facilities","Sauna, Jacuzzi, Other Healthcare and Recreation Facilities","Nearby Schools, Nearby Hospitals, Nearby Shopping Malls, Nearby Restaurants, Distance From Airport (kms), Nearby Public Transport Service, Other Nearby Places","Maintenance Staff, Security Staff, Laundry or Dry Cleaning Facility, Communal/Shared Kitchen, Facilities for Disabled, Pets Not Allowed, Other Facilities",,,
https://www.zameen.com/Property/dha_defence_phase_2_goldcrest_highlife_specious_3_bedroom_apartment_highlife_iii-53345636-21059-1.html,Flat,PKR1.25 Crore,3,6.1 Marla,For Sale,3,3 weeks ago,"DHA Defence, Islamabad, Islamabad Capital",Property features Goldcrest highlife III 3 bedroom Attached bath TV lounge Specious balcony Car parking Size 1370 sq ft. Premium category All dues clear deal Grey structure complete 100% Possession expected on 2027 For further details please contact,"Built in year: 2027, Parking Spaces: 2, Double Glazed Windows, Central Air Conditioning, Central Heating, Flooring, Electricity Backup, Waste Disposal, Other Main Features, Furnished","Bedrooms: 3, Bathrooms: 3, Drawing Room, Dining Room, Kitchens: 1, Study Room, Other Rooms","Broadband Internet Access, Satellite or Cable TV Ready, Intercom, Other Business and Communication Facilities","Community Lawn or Garden, Community Swimming Pool, Community Gym, First Aid or Medical Centre, Day Care Centre, Kids Play Area, Barbeque Area, Mosque, Community Centre, Other Community Facilities","Sauna, Jacuzzi, Other Healthcare and Recreation Facilities","Nearby Schools, Nearby Hospitals, Nearby Shopping Malls, Nearby Restaurants, Distance From Airport (kms), Nearby Public Transport Service, Other Nearby Places","Maintenance Staff, Security Staff, Facilities for Disabled, Other Facilities",,,
