Scraped_URL,Type,Price,Bath(s),Area,Purpose,Bedroom(s),Added,Location,Description,Amenities: Main Features,Amenities: Rooms,Amenities: Business and Communication,Amenities: Community Features,Amenities: Healthcare Recreational,Amenities: Nearby Locations and Other Facilities,Amenities: Other Facilities,Initial Amount,Monthly Installment,Remaining Installments
https://www.zameen.com/Property/faisal_town_phase_1_faisal_town_phase_1_-_block_c_3_bed_luxury_apartment_available_for_sale_in_faisal_heights-53068607-16418-1.html,Flat,PKR2.35 Crore,3,8.1 Marla,For Sale,3,4 weeks ago,"Faisal Town - F-18, Islamabad, Islamabad Capital","1 Bed , 2 Bed , 3 Bed & 4 Bed Booking Available. Don't Miss the Opportunity Because. Studio Apartments all Sold Out. 3 Bed Luxury Apartment Available For Sale in Faisal Heights. In Faisal Town Project of Faisal Town ZEDEM International. Faisal Town F-18 Islamabad. Sale on 1 % Payment Plan. 6 Years Payment Plan. Apartment Size: 1815 Sq Ft. Per Sq Ft: Rs 12,950 Total Amount: Rs 23,529,500 Down Payment 25 %: Rs 5,900,000 71 Monthly Installments: Rs 235,000 Last Installment: Rs 944,000 Interested People Can Contact Easily.","Built in year: 2021, Parking Spaces: 20, Double Glazed Windows, Central Air Conditioning, Central Heating, Flooring, Waste Disposal, Floor: 2, Floors in Building, Elevators, Other Main Features","Bedrooms: 3, Bathrooms: 3, Drawing Room, Dining Room, Kitchens: 1, Study Room, Prayer Room, Powder Room, Store Rooms: 1, Steam Room, Lounge or Sitting Room, Laundry Room, Other Rooms","Broadband Internet Access, Satellite or Cable TV Ready, Business Center or Media Room in Building, Conference Room in Building, Intercom, ATM Machines, Other Business and Communication Facilities","Community Lawn or Garden, Community Swimming Pool, Community Gym, First Aid or Medical Centre, Day Care Centre, Kids Play Area, Barbeque Area, Mosque, Community Centre, Other Community Facilities","Jacuzzi, Other Healthcare and Recreation Facilities","Nearby Schools, Nearby Hospitals, Nearby Shopping Malls, Nearby Restaurants, Distance From Airport (kms), Nearby Public Transport Service, Other Nearby Places",,,,
https://www.zameen.com/Property/faisal_town_phase_1_faisal_town_phase_1_-_block_c_4_bed_luxury_apartment_available_for_sale_in_faisal_heights_in_faisal_town_project_of_faisal_town_zedem_international_faisal_town_f-18_islamabad-53068624-16418-1.html,Flat,PKR3.19 Crore,4,11 Marla,For Sale,4,4 weeks ago,"Faisal Town - F-18, Islamabad, Islamabad Capital","1 Bed , 2 Bed , 3 Bed & 4 Bed Booking Available. Don't Miss the Opportunity Because. Studio Apartments all Sold Out. 4 Bed Luxury Apartment Available For Sale in Faisal Heights. In Faisal Town Project of Faisal Town ZEDEM International. Faisal Town F-18 Islamabad. Sale on 1 % Payment Plan. 6 Years Payment Plan. Apartment Size: 2465 Sq Ft. Per Sq Ft: Rs 12,950 Total Amount: Rs 31,946,500 Down Payment 25 %: Rs 80,05,000 71 Monthly Installments: Rs 319,000 Last Installment: Rs 12,92,000 Interested People Can Contact Easily.","Parking Spaces: 2, Flooring","Bedrooms: 4, Bathrooms: 4, Drawing Room, Dining Room, Kitchens: 1, Lounge or Sitting Room, Laundry Room","Broadband Internet Access, Satellite or Cable TV Ready, Business Center or Media Room in Building, Conference Room in Building, Intercom, ATM Machines, Other Business and Communication Facilities","Community Lawn or Garden, Community Swimming Pool, Community Gym, First Aid or Medical Centre, Day Care Centre, Kids Play Area, Barbeque Area, Mosque, Community Centre, Other Community Facilities","Sauna, Jacuzzi, Other Healthcare and Recreation Facilities","Nearby Schools, Nearby Hospitals, Nearby Shopping Malls, Nearby Restaurants, Distance From Airport (kms), Nearby Public Transport Service, Other Nearby Places","Security Staff, Other Facilities",,,
https://www.zameen.com/Property/faisal_town_phase_1_faisal_town_phase_1_-_block_b_2_bed_apartment_available_for_sale_apollo_tower_project_of_tanveer_associates_faisal_town_f-18_block_b_islamabad-53093590-16417-1.html,Flat,PKR1.78 Crore,2,4.7 Marla,For Sale,2,1 month ago,"Faisal Town - F-18, Islamabad, Islamabad Capital","2 Bed Apartment Available For Sale. Apollo Tower Project of Tanveer Associates. Faisal Town F-18 Block B Islamabad. Total Amount: Rs 1 Crore 78 Lacs 50 Thousand. Installments Plan Available. Model Apartment Also Available. And Pictures are Attached. 80% Project Almost Complete. Grey Structure Complete with 17 Floors. Now Finishing Work Going On. Already Delivered Projects in Faisal Town F-18 Islamabad. Example: Miusam Heights , Tower 45 , Prime Tower , Miusam Mall ETC. Apartment Size 587 Sq Ft. 2 Bedrooms. 2 Baths. TV Lounge. Kitchen. Lift Available. Maintenance Staff Available. Neat and Clean Environment in Tower. All Facilities Available. Interested People Can Contact Easily.","Parking Spaces, Flooring","Bedrooms: 2, Bathrooms: 2, Drawing Room, Dining Room, Kitchens: 1","Broadband Internet Access, Satellite or Cable TV Ready, Business Center or Media Room in Building, Conference Room in Building, Intercom, ATM Machines, Other Business and Communication Facilities","Community Lawn or Garden, Community Swimming Pool, Community Gym, First Aid or Medical Centre, Day Care Centre, Kids Play Area, Barbeque Area, Mosque, Community Centre, Other Community Facilities",Other Healthcare and Recreation Facilities,"Nearby Schools, Nearby Hospitals, Nearby Shopping Malls, Nearby Restaurants, Distance From Airport (kms), Nearby Public Transport Service, Other Nearby Places","Security Staff, Other Facilities",,,
https://www.zameen.com/Property/i_8_i-8_2_prime_location_i-8_2_house_sized_14_marla_for_sale-53328813-3442-1.html,House,PKR10.5 Crore,3,14 Marla,For Sale,3,2 months ago,"I-8, Islamabad, Islamabad Capital","Single Storey House Is Available For Sale It Consists Of 3 Bedrooms With Attached Bathrooms With High Quality Finish And Fixtures Drawing Dining T. V Lounge Kitchen Car Parking CDA TRANSFER All Living Facilities Are Available Walking Distance From Markez Market Masjid Schools, Near Kachnar Family Park Shifa International Hospital Water Filtration Plant Habibi Restaurant Metro Station, Public Transport We Hope You Will Like It'S Vast Available Space Stunning Interior And Exterior This House With All His Comfort And Quality For Further Details And Visit You May Contact Back","Built in year: 2024, Parking Spaces: 1, Double Glazed Windows, Central Air Conditioning, Central Heating, Flooring, Electricity Backup, Waste Disposal, Floors: 3, Other Main Features, Furnished","Bedrooms: 3, Bathrooms: 4, Servant Quarters: 1, Drawing Room, Dining Room, Kitchens: 1, Study Room, Prayer Room, Powder Room, Gym, Store Rooms: 1, Steam Room, Lounge or Sitting Room, Laundry Room, Other Rooms","Broadband Internet Access, Satellite or Cable TV Ready, Intercom, Other Business and Communication Facilities","Community Lawn or Garden, Community Swimming Pool, Community Gym, First Aid or Medical Centre, Day Care Centre, Kids Play Area, Barbeque Area, Mosque, Community Centre, Other Community Facilities","Lawn or Garden, Swimming Pool, Sauna, Jacuzzi, Other Healthcare and Recreation Facilities","Nearby Schools, Nearby Hospitals, Nearby Shopping Malls, Nearby Restaurants, Distance From Airport (kms), Nearby Public Transport Service, Other Nearby Places","Maintenance Staff, Security Staff, Facilities for Disabled, Other Facilities",,,
https://www.zameen.com/Property/d_12_d-12_4_35x70_70_feet_rd_designer_furnished_house_for_sale_d-12_4-53249397-3157-1.html,House,PKR13.35 Crore,7,10.9 Marla,For Sale,5,3 days ago,"D-12, Islamabad, Islamabad Capital",FULLY FURNISHED HOUSE FOR SALE BRAND NEW SOLID STRUCTURE 70 FEET ROAD 50X90 FACING DIRECT APPROACH FROM MAIN ROAD SERVICE ROAD EAST IRAN AVENUE FOR FURTHER DETAILS MALIKS ENTERPRISES D-12,"Built in year: 2023, Parking Spaces, Double Glazed Windows, Central Air Conditioning, Central Heating, Flooring, Electricity Backup, Waste Disposal, Floors: 3, Other Main Features, Furnished","Bedrooms: 6, Bathrooms: 6, Servant Quarters, Drawing Room, Dining Room, Kitchens: 2, Study Room, Prayer Room, Powder Room, Gym, Store Rooms: 1, Steam Room, Lounge or Sitting Room, Laundry Room, Other Rooms","Broadband Internet Access, Satellite or Cable TV Ready, Intercom, Other Business and Communication Facilities","Community Lawn or Garden, Community Swimming Pool, Community Gym, First Aid or Medical Centre, Day Care Centre, Kids Play Area, Barbeque Area, Mosque, Community Centre, Other Community Facilities","Lawn or Garden, Swimming Pool, Sauna, Jacuzzi, Other Healthcare and Recreation Facilities","Nearby Schools, Nearby Hospitals, Nearby Shopping Malls, Nearby Restaurants, Distance From Airport (kms), Nearby Public Transport Service, Other Nearby Places","Maintenance Staff, Security Staff, Facilities for Disabled, Other Facilities",,,
https://www.zameen.com/Property/d_12_d-12_2_on_excellent_location_d-12_2_1_kanal_house_up_for_sale-53249398-3155-1.html,House,PKR23.25 Crore,6,1 Kanal,For Sale,7,3 days ago,"D-12, Islamabad, Islamabad Capital","Luxurious 3-Story Kanal House for Sale ### Key Features: - 7 spacious bedrooms with attached bathrooms - 2 drawing rooms for relaxation and entertainment - 2 dining areas for formal and informal gatherings - 2 kitchens, including a dirty kitchen for added convenience - 7 car parking spaces for residents and guests - 2 separate laundry areas for added convenience - Servant quarters with two separate washrooms for live-in staff - Store room for storage and organization - 3 powder rooms, one on each floor, for added convenience ### Basement Amenities: - Shower for swimming pool - Swimming pool for recreation and exercise - Tennis table for entertainment - Theater room for movie nights - Suhana room (relaxation room) for unwinding - Office - Gym ### Additional Features: - 15 KV solar panel system with green meter - Scenic views of the mountains - Close proximity to mosque and park - Green belt in front of the house, adding to its natural beauty - Strategically located near the city center (markaz) for easy access to amenities - Front open design of this house, providing ample natural light and ventilation - Spacious footrest terrace without pillars, offering unobstructed views and relaxation space - Professionally sound construction, ensuring durability and structural integrity - Water boring available, ensuring a reliable water supply ### Floor Plan: The house consists of three floors: basement, ground floor, and first floor. This luxurious 3-story kanal house offers a perfect blend of comfort, functionality, and scenic views, making it an ideal residence for those seeking a high-end lifestyle.","Built in year: 2025, Parking Spaces: 3, Double Glazed Windows, Central Air Conditioning, Central Heating, Flooring, Electricity Backup, Waste Disposal, Floors: 3, Other Main Features, Furnished","Bedrooms: 7, Bathrooms: 8, Servant Quarters: 1, Drawing Room, Dining Room, Kitchens: 2, Study Room, Prayer Room, Powder Room, Gym, Store Rooms: 1, Steam Room, Lounge or Sitting Room, Laundry Room, Other Rooms","Broadband Internet Access, Satellite or Cable TV Ready, Intercom, Other Business and Communication Facilities","Community Lawn or Garden, Community Swimming Pool, Community Gym, First Aid or Medical Centre, Day Care Centre, Kids Play Area, Barbeque Area, Mosque, Community Centre, Other Community Facilities","Lawn or Garden, Swimming Pool, Sauna, Jacuzzi, Other Healthcare and Recreation Facilities","Nearby Schools, Nearby Hospitals, Nearby Shopping Malls, Nearby Restaurants, Distance From Airport (kms), Nearby Public Transport Service, Other Nearby Places","Maintenance Staff, Security Staff, Facilities for Disabled, Other Facilities",,,
https://www.zameen.com/Property/al_ghurair_giga_al-ghurair_giga_-_block_16_brand_new_apartment_for_sale-52441545-15120-1.html,Flat,PKR1.03 Crore,1,2.9 Marla,For Sale,1,3 weeks ago,"DHA Defence, Islamabad, Islamabad Capital","property features DHA phase 2 Block 16 overseas Block 1 bedroom attached bath TV lounge kitchen specious terrace reserved car parking heavy duty lifts already rented on 35,000/month Best Investment Opportunity swimming pool & play area for kids at roof top maintenance staff security staff direct access from Main GT road walking distance from masjid & commercial.","Built in year: 2024, Parking Spaces: 1, Lobby in Building, Double Glazed Windows, Central Air Conditioning, Central Heating, Flooring, Electricity Backup, Waste Disposal, Floor: 5, Floors in Building: 10, Elevators: 2, Service Elevators in Building, Other Main Features, Furnished","Bedrooms: 1, Bathrooms: 1, Servant Quarters: 1, Drawing Room, Dining Room, Kitchens: 1, Study Room, Prayer Room, Powder Room, Gym, Store Rooms: 1, Steam Room, Lounge or Sitting Room, Laundry Room, Other Rooms","Broadband Internet Access, Satellite or Cable TV Ready, Business Center or Media Room in Building, Conference Room in Building, Intercom, ATM Machines, Other Business and Communication Facilities","Community Lawn or Garden, Community Swimming Pool, Community Gym, First Aid or Medical Centre, Day Care Centre, Kids Play Area, Barbeque Area, Mosque, Community Centre, Other Community Facilities","Sauna, Jacuzzi, Other Healthcare and Recreation Facilities","Nearby Schools, Nearby Hospitals, Nearby Shopping Malls, Nearby Restaurants, Distance From Airport (kms), Nearby Public Transport Service, Other Nearby Places","Maintenance Staff, Security Staff, Laundry or Dry Cleaning Facility, Communal/Shared Kitchen, Facilities for Disabled, Pets Not Allowed, Other Facilities",,,
https://www.zameen.com/Property/top_city_1_top_city_1_-_block_b_brand_new_house_for_sale-52968937-9230-1.html,House,PKR8.5 Crore,7,1 Kanal,For Sale,8,3 months ago,"Top City 1, Islamabad, Islamabad Capital","Brand New A Fresh House 6 Bed Bath 2 DD 2 TV Lounge Servant And Big Car Parking Near Motorway And Airport Lush Green View Only Purchaser Get First Offer For Sale Islamabad is full of real estate investment opportunities, so stop waiting and start investing! If 500 Square Yards House is what you are looking for, this is it. With an ultra modern interior, spacious rooms, attached bath and kitchen, this House is no less than a dream. Top City 1 - Block B Islamabad is developing at a relatively fast pace, making it a great investment opportunity. The demand price is set pretty reasonably at Rs. 85000000. Prices can't get better than this, so hurry up and buy your dream home today. Read below to find out what this property offers. Good weather and a spacious lawn in the House is all you need for a memorable family dinner outdoors. You can enjoy winters from the warmth of your home due to central heating in the House. The House is fully-furnished with modern amenities. The complex comes equipped with central air conditioning for ensuring a comfortable experience. Double glazed windows offer security as well as look beautiful in the House. Waste disposal management services ensures the premise is kept clean. If you want more information, please contact us!","Built in year: 2025, Parking Spaces: 4, Double Glazed Windows, Central Air Conditioning, Central Heating, Flooring, Electricity Backup, Waste Disposal, Floors: 2, Other Main Features, Furnished",,,,,,,,,
https://www.zameen.com/Property/kashmir_highway_zamar_valley_5_marla_bricks_structure_for_sale_only_62_lac-53344913-15465-1.html,House,PKR62 Lakh,4,5 Marla,For Sale,4,3 months ago,"Kashmir Highway, Islamabad, Islamabad Capital",Zamer Valley Size 5 Marla Block B Ground + First Floor Front Bricks Structure Very Reasonable Price,,"Bedrooms: 4, Bathrooms: 5, Servant Quarters: 1, Drawing Room, Dining Room, Kitchens: 2, Study Room, Prayer Room, Powder Room, Store Rooms: 2, Lounge or Sitting Room",,"Community Lawn or Garden, Community Swimming Pool, First Aid or Medical Centre, Day Care Centre, Kids Play Area, Barbeque Area, Mosque",,"Nearby Schools, Nearby Hospitals, Nearby Shopping Malls, Nearby Restaurants, Distance From Airport (kms), Nearby Public Transport Service, Other Nearby Places","Maintenance Staff, Security Staff",,,
https://www.zameen.com/Property/g_15_4_islamabad_heights_flat_for_sale-53197460-15499-1.html,Flat,PKR1.25 Crore,2,8.3 Marla,For Sale,2,3 months ago,"G-15, Islamabad, Islamabad Capital","Flat For Sale In *Islamabad Heights G-15-4 Ground Floor 3Car Parking Space 1860 Sqft 2Bed+Attach Washrooms Drawing Dining Almost 7.5 Marla Electricity + Gas + Water Rent Value 70,000/-","Built in year: 2019, Parking Spaces: 2, Lobby in Building, Double Glazed Windows, Central Air Conditioning, Central Heating, Flooring, Electricity Backup, Waste Disposal, Floor: 1, Floors in Building: 5, Elevators: 1, Service Elevators in Building, Other Main Features, Furnished","Bedrooms: 2, Bathrooms: 2, Servant Quarters: 1, Drawing Room, Dining Room, Kitchens: 1, Study Room, Prayer Room, Powder Room, Gym, Store Rooms: 1, Steam Room, Lounge or Sitting Room, Laundry Room, Other Rooms","Broadband Internet Access, Satellite or Cable TV Ready, Intercom, Other Business and Communication Facilities","Community Lawn or Garden, Community Gym, First Aid or Medical Centre, Day Care Centre, Kids Play Area, Barbeque Area, Mosque, Community Centre, Other Community Facilities","Sauna, Other Healthcare and Recreation Facilities","Nearby Schools, Nearby Hospitals, Nearby Shopping Malls, Nearby Restaurants, Distance From Airport (kms), Nearby Public Transport Service, Other Nearby Places","Maintenance Staff, Security Staff",,,
