Scraped_URL,Type,Price,Bath(s),Area,Purpose,Bedroom(s),Added,Location,Description,Amenities: Main Features,Amenities: Rooms,Amenities: Business and Communication,Amenities: Community Features,Amenities: Healthcare Recreational,Amenities: Nearby Locations and Other Facilities,Amenities: Other Facilities,Initial Amount,Monthly Installment,Remaining Installments
https://www.zameen.com/Property/ghauri_town_ghauri_town_phase_5a_stylish_5_marla_house_for_sale_opposite_ghauri_town_phase_5a_ideal_location_islamabad-53290285-16786-1.html,House,PKR1.5 Crore,6,5 Marla,For Sale,5,2 months ago,"Ghauri Town, Islamabad, Islamabad Capital","Ideal Features & Description Property Details: Size: 5 Marla Location: Green Paradise Society, Islamabad Nearby Landmark: Opposite Ghauri Town Phase 5A Category: Double Storey House Status: Ready to Move Key Features: 4 Spacious Bedrooms with Attached Bathrooms Stylish TV Lounge & Drawing Room Modern Kitchen with Elegant Fittings Car Parking Space Available Quality Construction with Premium Finishes Solid Woodwork & Beautiful Ceiling Design Terrace with Open View Electricity, Water, and Gas Available Location Highlights: Prime Location with Easy Access from Main Islamabad Expressway Peaceful, Secure, and Family-Friendly Environment Near Markets, Schools, and Mosques For Further Details: Visit 7 Star Real Estate & Developers Your Trusted Property Experts in Islamabad","Built in year: 2025, Parking Spaces, Double Glazed Windows, Central Air Conditioning, Central Heating, Flooring, Electricity Backup, Waste Disposal, Floors: 2, Other Main Features","Bedrooms: 5, Bathrooms: 6, Servant Quarters: 1, Drawing Room, Dining Room, Kitchens: 2, Study Room, Powder Room, Store Rooms: 2, Lounge or Sitting Room, Laundry Room","Broadband Internet Access, Satellite or Cable TV Ready, Intercom, Other Business and Communication Facilities","Community Lawn or Garden, Community Gym, First Aid or Medical Centre, Day Care Centre, Kids Play Area, Barbeque Area, Mosque, Community Centre","Lawn or Garden, Other Healthcare and Recreation Facilities","Nearby Schools, Nearby Hospitals, Nearby Shopping Malls, Nearby Restaurants, Distance From Airport (kms), Nearby Public Transport Service, Other Nearby Places","Maintenance Staff, Security Staff, Other Facilities",,,
https://www.zameen.com/Property/naval_anchorage_naval_anchorage_-_block_g_5_marla_house_for_sale_naval_anchorage_islamabad-53300155-9158-1.html,House,PKR2.3 Crore,4,5 Marla,For Sale,4,3 months ago,"Naval Anchorage, Islamabad, Islamabad Capital",Naval Anchorage islamabad 5Marla House for sale dble story near to park market masjid school market,"Built in year: 2021, Parking Spaces: 1, Double Glazed Windows, Central Air Conditioning, Central Heating, Flooring, Electricity Backup, Waste Disposal, Floors: 2, Other Main Features, Furnished","Bedrooms: 4, Bathrooms: 4, Servant Quarters: 2, Drawing Room, Dining Room, Kitchens: 2, Study Room, Prayer Room, Powder Room, Gym, Store Rooms: 2, Steam Room, Lounge or Sitting Room, Laundry Room, Other Rooms","Broadband Internet Access, Satellite or Cable TV Ready, Intercom, Other Business and Communication Facilities","Community Lawn or Garden, Community Swimming Pool, Community Gym, First Aid or Medical Centre, Day Care Centre, Kids Play Area, Barbeque Area, Mosque, Community Centre, Other Community Facilities","Lawn or Garden, Swimming Pool, Sauna, Jacuzzi, Other Healthcare and Recreation Facilities","Nearby Schools, Nearby Hospitals, Nearby Shopping Malls, Nearby Restaurants, Distance From Airport (kms), Nearby Public Transport Service, Other Nearby Places","Maintenance Staff, Security Staff, Facilities for Disabled, Other Facilities",,,
https://www.zameen.com/Property/g_10_g-10_2_old_house_for_sale_in_g-10_2-53240080-3325-1.html,House,PKR13.5 Crore,4,1.2 Kanal,For Sale,4,3 months ago,"G-10, Islamabad, Islamabad Capital",- OLD CONSTRUCTION - PROPER 50*90 - DEAL WITH OWNER - INVESTOR RATE,"Built in year, Parking Spaces: 4, Double Glazed Windows, Central Air Conditioning, Central Heating, Flooring, Electricity Backup, Waste Disposal, Floors: 2, Other Main Features","Bedrooms: 5, Bathrooms: 6, Servant Quarters: 2, Drawing Room, Dining Room, Kitchens: 3, Study Room, Prayer Room, Powder Room, Gym, Store Rooms: 1, Steam Room, Lounge or Sitting Room, Laundry Room, Other Rooms","Broadband Internet Access, Satellite or Cable TV Ready, Intercom, Other Business and Communication Facilities","Community Lawn or Garden, Community Swimming Pool, Community Gym, First Aid or Medical Centre, Day Care Centre, Kids Play Area, Barbeque Area, Mosque, Community Centre, Other Community Facilities","Lawn or Garden, Swimming Pool, Sauna, Jacuzzi, Other Healthcare and Recreation Facilities","Nearby Schools, Nearby Hospitals, Nearby Shopping Malls, Nearby Restaurants, Distance From Airport (kms), Nearby Public Transport Service, Other Nearby Places","Maintenance Staff, Security Staff, Facilities for Disabled, Other Facilities",,,
https://www.zameen.com/Property/dha_defence_dha_defence_phase_4_9_bed_house_in_dha_4_sector_c_street_11_heighted_location-53302513-8413-1.html,House,PKR9.5 Crore,7,1 Kanal,For Sale,9,2 weeks ago,"DHA Defence, Islamabad, Islamabad Capital","3 Independent Portions Peaceful location, heighten street, elegant house, modern design 9 Spacious Bedrooms with attached luxury bathrooms Ideal for investment or joint family living Cameras installed at all floors Open Basement: - 3 Bedrooms with attached bathrooms - Modern Kitchen + Greasy Kitchen - Spacious Lounge - Powder Washroom and store - Dedicated Servant Room Ground Floor: - 3 Bedrooms with attached bathrooms - Elegant Drawing and Dining Rooms - Stylish Lounge - Main Kitchen + Greasy Kitchen - Powder Washroom and store - Servant Room First Floor: - 3 Bedrooms with attached bathrooms - Drawing Room and Lounge - Kitchen + Greasy Kitchen - Powder Washroom and store - Servant Room","Built in year: 2010, Parking Spaces, Double Glazed Windows, Central Air Conditioning, Central Heating, Flooring, Waste Disposal, Floors: 1, Other Main Features, Furnished","Bedrooms: 3, Bathrooms: 3, Servant Quarters: 1, Drawing Room, Dining Room, Kitchens: 1, Study Room, Prayer Room, Powder Room, Gym, Store Rooms: 1, Steam Room, Lounge or Sitting Room, Laundry Room, Other Rooms","Broadband Internet Access, Satellite or Cable TV Ready, Intercom, Other Business and Communication Facilities","Community Lawn or Garden, Community Swimming Pool, Community Gym, First Aid or Medical Centre, Day Care Centre, Kids Play Area, Barbeque Area, Mosque, Community Centre, Other Community Facilities","Lawn or Garden, Swimming Pool, Sauna, Jacuzzi, Other Healthcare and Recreation Facilities","Nearby Schools, Nearby Hospitals, Nearby Shopping Malls, Nearby Restaurants, Distance From Airport (kms), Nearby Public Transport Service, Other Nearby Places","Maintenance Staff, Security Staff, Facilities for Disabled, Other Facilities",,,
https://www.zameen.com/Property/dha_defence_phase_2_goldcrest_views_studio_apartment_available_on_3_years_easy_installment_plan-53238699-18358-1.html,Flat,PKR1.3 Crore,-,2.7 Marla,For Sale,-,2 months ago,"DHA Defence, Islamabad, Islamabad Capital",Studio Apartment available on 3 years easy installment plan with 25% discount. limited time offer first time and end very soon. Don't miss this opportunity and get your Apartment in Goldcrest - Giga Mall and get best rental in future. Down-payment: 40 Lac Monthly Installment: 1.30 Lac Total Price: 130 Lac,"Built in year: 2025, Parking Spaces, Lobby in Building, Double Glazed Windows, Central Air Conditioning, Central Heating, Flooring, Electricity Backup, Waste Disposal, Elevators, Service Elevators in Building","Bedrooms: 1, Bathrooms: 1, Drawing Room, Dining Room, Kitchens: 1, Study Room, Prayer Room","Broadband Internet Access, Satellite or Cable TV Ready, Business Center or Media Room in Building, Conference Room in Building, Intercom, ATM Machines","Community Lawn or Garden, Community Swimming Pool, Community Gym, First Aid or Medical Centre, Day Care Centre, Kids Play Area, Barbeque Area, Mosque, Community Centre","Sauna, Jacuzzi","Nearby Schools, Nearby Hospitals, Nearby Shopping Malls, Nearby Restaurants, Distance From Airport (kms), Nearby Public Transport Service",,,,
https://www.zameen.com/Property/b_17_faisal_margalla_city_faisal_margalla_city_islamabad_5_marla_luxury_house_available_for_sale-53233590-13424-1.html,House,PKR2.5 Crore,6,5 Marla,For Sale,4,3 weeks ago,"B-17, Islamabad, Islamabad Capital",Fmc Faisal margalla City Islamabad 5 Marla double unit house available for sale 4 bed room's 6 wash room's 2 drowning rooms 2 tv lunch sarqat room 2 Big kitchen's 1 car parking momti room A++ construction solid wood work prime location near Market masjid school Park everything available on walking distance very reasonable price more details,"Built in year: 2024, Parking Spaces: 1, Double Glazed Windows, Central Air Conditioning, Central Heating, Flooring, Electricity Backup, Waste Disposal, Floors: 1, Other Main Features, Furnished","Bedrooms: 4, Bathrooms: 6, Servant Quarters: 1, Drawing Room, Dining Room, Kitchens: 2, Study Room, Prayer Room, Powder Room, Gym, Store Rooms: 1, Steam Room, Lounge or Sitting Room, Laundry Room, Other Rooms","Broadband Internet Access, Satellite or Cable TV Ready, Intercom, Other Business and Communication Facilities","Community Lawn or Garden, Community Swimming Pool, Community Gym, First Aid or Medical Centre, Day Care Centre, Kids Play Area, Barbeque Area, Mosque, Community Centre, Other Community Facilities","Lawn or Garden, Swimming Pool, Sauna, Jacuzzi, Other Healthcare and Recreation Facilities","Nearby Schools, Nearby Hospitals, Nearby Shopping Malls, Nearby Restaurants, Distance From Airport (kms), Nearby Public Transport Service, Other Nearby Places","Maintenance Staff, Security Staff, Facilities for Disabled, Other Facilities",,,
https://www.zameen.com/Property/faisal_hills_faisal_hills_-_executive_block_5_marla_spanish_house_available_for_sale_5_years_easy_installment_plan_all_facilities_available-52933100-16527-1.html,House,PKR2.16 Crore,4,5 Marla,For Sale,3,4 days ago,"Faisal Hills, Islamabad, Islamabad Capital",faisal hills Islamabad exactive block 5 Marla Spanish villa's available for sale on 5 year easy Installment s plan 5 Marla double story house available for sale 5 years easy Installments plan 3 bed room's 4 wash room's 3D kitchen tv lunch drowning rooms sarqat room car parking A++. construction 24/7 boring water electric meter available everything available on walking distance more Details,"Parking Spaces: 1, Double Glazed Windows, Central Air Conditioning, Central Heating, Furnished","Bedrooms: 3, Bathrooms: 4, Servant Quarters: 1, Drawing Room, Dining Room, Kitchens: 1, Study Room, Prayer Room, Powder Room, Gym, Store Rooms: 1, Steam Room, Lounge or Sitting Room, Laundry Room, Other Rooms","Broadband Internet Access, Satellite or Cable TV Ready, Intercom","Community Lawn or Garden, Community Swimming Pool, Community Gym, First Aid or Medical Centre, Day Care Centre, Kids Play Area, Barbeque Area, Mosque, Community Centre","Lawn or Garden, Swimming Pool, Sauna, Jacuzzi, Other Healthcare and Recreation Facilities","Nearby Schools, Nearby Hospitals, Nearby Shopping Malls, Nearby Restaurants, Distance From Airport (kms), Nearby Public Transport Service, Other Nearby Places","Maintenance Staff, Security Staff, Facilities for Disabled, Other Facilities",,,
https://www.zameen.com/Property/dha_defence_dha_defence_phase_2_high_quality_6_bedrooms_house_with_beautiful_huge_lawn-52558106-339-1.html,House,PKR11.25 Crore,6,1 Kanal,For Sale,6,3 days ago,"DHA Defence, Islamabad, Islamabad Capital","Luxurious 1 Kanal House for Sale in DHA Phase 2 Offered by Al Arz Investments Al Arz Investments proudly presents an exquisite 1 Kanal residence located in the prime sector of DHA Phase 2. This beautifully designed home offers the perfect blend of modern architecture, top-quality construction, and elegant interiors. Property Features: Size: 1 Kanal Bedrooms: 6 spacious and well-ventilated bedrooms Bathrooms: Attached modern bathrooms with premium fittings Living Areas: Stylish drawing, dining, and TV lounges Kitchen: Fully equipped contemporary kitchen with high-end appliances Servant Quarters: Separate accommodation for staff Parking: Wide porch with ample car parking space Interior: Tasteful ceilings, imported tiles, and wooden finishes throughout Location: Situated in a prime, secure, and peaceful area of DHA Phase 2, with easy access to schools, shopping centers, and main roads. This home is ideal for families seeking comfort, elegance, and convenience in one of Islamabads most prestigious locations. For more details or to schedule a visit, contact Al Arz Investments today.","Built in year: 2025, Parking Spaces: 4, Double Glazed Windows, Central Air Conditioning, Central Heating, Flooring, Electricity Backup, Waste Disposal, Floors: 2, Other Main Features, Furnished","Bedrooms: 6, Bathrooms: 7, Servant Quarters: 2, Drawing Room, Dining Room, Kitchens: 2, Study Room, Prayer Room, Powder Room, Gym, Store Rooms: 1, Steam Room, Lounge or Sitting Room, Laundry Room, Other Rooms","Broadband Internet Access, Satellite or Cable TV Ready, Intercom, Other Business and Communication Facilities","Community Lawn or Garden, Community Swimming Pool, Community Gym, First Aid or Medical Centre, Day Care Centre, Kids Play Area, Barbeque Area, Mosque, Community Centre, Other Community Facilities","Lawn or Garden, Swimming Pool, Sauna, Jacuzzi, Other Healthcare and Recreation Facilities","Nearby Schools, Nearby Hospitals, Nearby Shopping Malls, Nearby Restaurants, Distance From Airport (kms), Nearby Public Transport Service, Other Nearby Places","Maintenance Staff, Security Staff, Facilities for Disabled, Other Facilities",,,
https://www.zameen.com/Property/f_6_f-6_3_f-6_3_gem_demolish_able_property_with_high_investment_potential-53118910-3301-1.html,House,PKR55 Crore,7,2.2 Kanal,For Sale,6,2 months ago,"F-6, Islamabad, Islamabad Capital","Images are just for reference only. Chohan HAY Estate Offers: - Prime location in F-6/3, Islamabad - Demolishable house - Perfect for your dream project - Beautiful street with lush greenery - Stunning views of the Margalla Hills - Close proximity to Kohsar Market and Margalla Road - Spacious plot for new construction - Secure and peaceful neighborhood - Excellent investment potential due to the prime location - Convenient access to top schools, hospitals, and shopping centers - Don't miss out on this incredible opportunity For more information and other options, please contact us at the provided numbers or visit CHOHAN HAY ESTATE.","Parking Spaces, Other Main Features","Bedrooms: 6, Bathrooms: 7, Servant Quarters, Drawing Room, Dining Room, Kitchens, Study Room, Prayer Room, Powder Room, Store Rooms, Steam Room, Lounge or Sitting Room, Laundry Room, Other Rooms","Broadband Internet Access, Satellite or Cable TV Ready, Intercom, Other Business and Communication Facilities","Community Gym, First Aid or Medical Centre, Day Care Centre, Kids Play Area, Barbeque Area, Mosque, Community Centre, Other Community Facilities","Lawn or Garden, Other Healthcare and Recreation Facilities","Nearby Schools, Nearby Hospitals, Nearby Shopping Malls, Nearby Restaurants, Distance From Airport (kms), Nearby Public Transport Service, Other Nearby Places","Maintenance Staff, Security Staff",,,
https://www.zameen.com/Property/i_10_i-10_1_a_house_of_10_marla_in_i-10_1-53130304-3420-1.html,House,PKR6 Crore,4,10 Marla,For Sale,4,3 months ago,"I-10, Islamabad, Islamabad Capital",I10/1 House For Sale Double Story 4 Bed 4 Bath 2 Tv Launch 2 Drawing Room 2 Kitchen Size 3070 Demand 60000000,,"Bedrooms: 4, Bathrooms: 4, Drawing Room, Dining Room, Kitchens: 2, Study Room, Prayer Room, Powder Room, Store Rooms: 2, Steam Room, Lounge or Sitting Room",,,,,,,,
