Scraped_URL,Real Location,Type,Price,Bath(s),Area,Purpose,Bedroom(s),Added,Location,Description,Amenities: Main Features,Amenities: Rooms,Amenities: Business and Communication,Amenities: Community Features,Amenities: Healthcare Recreational,Amenities: Nearby Locations and Other Facilities,Amenities: Other Facilities
https://www.zameen.com/Property/d_12_d-12_2_10_marla_luxury_brand_new_park_face_house_available_for_sale-52432761-3155-1.html,"D-12/2, D-12",House,PKR12 Crore,7,10 Marla,For Sale,6,3 weeks ago,"D-12, Islamabad, Islamabad Capital",10 MARLA LUXXARY BRAND NEW PARK FACE AVAILABLE FOR SALE WITH FOLLOWING ACCOMODATION 6 BEDROOM WITH ATTACH BATH 2 KITCHEN 2 D+D LOUNHG SERVENT QUARTER FRONT OPEN PARK FACE EXTRA LEND sonex and porta sanitary installed FOR MORE DETAILS PLZ CONTECT,"Built in year, Parking Spaces: 4, Double Glazed Windows, Central Air Conditioning, Central Heating, Flooring, Electricity Backup, Waste Disposal, Floors: 2, Other Main Features","Bedrooms: 6, Bathrooms: 8, Servant Quarters: 2, Drawing Room, Dining Room, Kitchens: 2, Study Room, Prayer Room, Powder Room, Gym, Store Rooms: 1, Steam Room, Lounge or Sitting Room, Laundry Room, Other Rooms","Broadband Internet Access, Satellite or Cable TV Ready, Intercom, Other Business and Communication Facilities","Community Lawn or Garden, Community Swimming Pool, Community Gym, First Aid or Medical Centre, Day Care Centre, Kids Play Area, Barbeque Area, Mosque, Community Centre, Other Community Facilities","Lawn or Garden, Swimming Pool, Sauna, Jacuzzi, Other Healthcare and Recreation Facilities","Nearby Schools, Nearby Hospitals, Nearby Shopping Malls, Nearby Restaurants, Distance From Airport (kms), Nearby Public Transport Service, Other Nearby Places","Security Staff, Other Facilities"
https://www.zameen.com/Property/d_12_d-12_1_4_44_marla_single_unit_luxury_corner_house_with_open_view_cda_sector_d-12_1-53019840-3154-1.html,"D-12/1, D-12",House,PKR5.2 Crore,4,4.4 Marla,For Sale,3,2 months ago,"D-12, Islamabad, Islamabad Capital","4.44 Marla Single Unit Luxury corner House with Open View CDA Sector D-12/1, Islamabad Presenting a luxury single-unit home in the highly sought-after CDA Sector D-12/1 This property blends modern design with comfort, making it perfect for families or investors. Property Features: 3 spacious bedrooms with attached bathrooms Elegant drawing room and cozy lounge 1 modern kitchen with quality fittings Servant quarter for added convenience 3 car parking space Electricity and water bore available Currently rented at Rs. 135,000 per month, this home ensures a steady rental income alongside excellent value appreciation potential. Demand: Rs. 5,2500000 Location: CDA Sector D-12/1, Islamabad A perfect combination of luxury, location, and investment potentialenjoy the serene open view while living in one of Islamabads most prestigious sectors.","Built in year, Parking Spaces: 3, Double Glazed Windows, Central Air Conditioning, Central Heating, Flooring, Electricity Backup, Waste Disposal, Floors: 2, Other Main Features","Bedrooms: 3, Bathrooms: 4, Servant Quarters: 1, Drawing Room, Dining Room, Kitchens: 1, Study Room, Prayer Room, Powder Room, Gym, Store Rooms: 1, Steam Room, Lounge or Sitting Room, Laundry Room, Other Rooms","Broadband Internet Access, Satellite or Cable TV Ready, Intercom, Other Business and Communication Facilities","Community Lawn or Garden, Community Swimming Pool, Community Gym, First Aid or Medical Centre, Day Care Centre, Kids Play Area, Barbeque Area, Mosque, Community Centre, Other Community Facilities","Lawn or Garden, Swimming Pool, Sauna, Jacuzzi, Other Healthcare and Recreation Facilities","Nearby Schools, Nearby Hospitals, Nearby Shopping Malls, Nearby Restaurants, Distance From Airport (kms), Nearby Public Transport Service, Other Nearby Places","Security Staff, Other Facilities"
https://www.zameen.com/Property/d_12_d-12_4_4_44_marla_single_unit_luxury_house_cda_sector_d-12_4_islamabad-52990354-3157-1.html,"D-12/4, D-12",House,PKR4.3 Crore,5,4.4 Marla,For Sale,3,1 month ago,"D-12, Islamabad, Islamabad Capital","4.44 Marla Single Unit Luxury House with Open View CDA Sector D-12/4, Islamabad Presenting a luxury single-unit home in the highly sought-after CDA Sector D-12/4, offering an unobstructed open view and a prime residential setting. This property blends modern design with comfort, making it perfect for families or investors. Property Features: 3 spacious bedrooms with attached bathrooms Elegant drawing room and cozy lounge 1 modern kitchen with quality fittings Servant quarter for added convenience 1 car parking space Electricity and water bore available Currently rented at Rs. 135,000 per month, this home ensures a steady rental income alongside excellent value appreciation potential. Demand: Rs. 4,50,00,000 Location: CDA Sector D-12/4, Islamabad A perfect combination of luxury, location, and investment potentialenjoy the serene open view while living in one of Islamabads most prestigious sectors.","Built in year, Parking Spaces: 1, Double Glazed Windows, Central Air Conditioning, Central Heating, Flooring, Electricity Backup, Waste Disposal, Floors: 2, Other Main Features","Bedrooms: 3, Bathrooms: 5, Servant Quarters: 1, Drawing Room, Dining Room, Kitchens: 1, Study Room, Prayer Room, Powder Room, Gym, Store Rooms: 1, Steam Room, Lounge or Sitting Room, Laundry Room, Other Rooms","Broadband Internet Access, Satellite or Cable TV Ready, Intercom, Other Business and Communication Facilities","Community Lawn or Garden, Community Swimming Pool, Community Gym, First Aid or Medical Centre, Day Care Centre, Kids Play Area, Barbeque Area, Mosque, Community Centre, Other Community Facilities","Lawn or Garden, Swimming Pool, Sauna, Jacuzzi, Other Healthcare and Recreation Facilities","Nearby Schools, Nearby Hospitals, Nearby Shopping Malls, Nearby Restaurants, Distance From Airport (kms), Nearby Public Transport Service, Other Nearby Places","Maintenance Staff, Security Staff, Facilities for Disabled, Other Facilities"
https://www.zameen.com/Property/d_12_d-12_1_5_marla_double_unit_front-open_house_for_sale_in_cda_sector_d-12_1_islamabad-52990287-3154-1.html,"D-12/1, D-12",House,PKR5.75 Crore,6,5 Marla,For Sale,5,3 weeks ago,"D-12, Islamabad, Islamabad Capital","5 Marla Double Unit Front-Open 50 ft street House for Sale in CDA Sector D-12/1, Islamabad Discover this beautiful front-open 5 Marla double unit house in the prestigious CDA Sector D-12/1, offering an unobstructed open view and a prime location. This well-designed home features: 5 spacious bedrooms with attached bathrooms Elegant drawing room and comfortable lounge 2 fully equipped kitchens Servant quarter for added convenience 1 car parking space Complete utility connections: gas, electricity, and water bore The property is currently rented out for Rs. 160,000 per month, making it an excellent investment opportunity as well as a perfect family home. Demand: Rs. 5,75,00,000 Location: CDA Sector D-12/1, Islamabad Experience modern living in a serene environment with a clear, open viewideal for those who value comfort, style,","Built in year: 4, Parking Spaces: 2, Double Glazed Windows, Central Air Conditioning, Central Heating, Flooring, Electricity Backup, Waste Disposal, Floors: 2, Other Main Features, Furnished","Bedrooms: 5, Bathrooms: 6, Servant Quarters: 1, Drawing Room, Dining Room, Kitchens: 2, Study Room, Prayer Room, Powder Room, Gym, Store Rooms: 1, Steam Room, Lounge or Sitting Room, Laundry Room, Other Rooms","Broadband Internet Access, Satellite or Cable TV Ready, Intercom, Other Business and Communication Facilities","Community Lawn or Garden, Community Swimming Pool, Community Gym, First Aid or Medical Centre, Day Care Centre, Kids Play Area, Barbeque Area, Mosque, Community Centre, Other Community Facilities","Lawn or Garden, Swimming Pool, Sauna, Jacuzzi, Other Healthcare and Recreation Facilities","Nearby Schools, Nearby Hospitals, Nearby Shopping Malls, Nearby Restaurants, Distance From Airport (kms), Nearby Public Transport Service, Other Nearby Places","Maintenance Staff, Security Staff, Facilities for Disabled, Other Facilities"
https://www.zameen.com/Property/bahria_enclave_bahria_enclave_-_sector_h_brand_new_designer_house_for_sale_in_sector_h_back_open_to_boulevard_extreme_top_location_3_bedroom_with_attach_bath_bahria_enclave_islamabad-53356650-11983-1.html,"Bahria Enclave - Sector H, Bahria Enclave",House,PKR2.7 Crore,4,5 Marla,For Sale,3,4 months ago,"Bahria Town, Islamabad, Islamabad Capital","Brand-New Designer House for Sale in Bahria Enclave, Islamabad (Sector H) Experience modern luxury in this brand-new designer house, perfectly crafted for comfortable living. Spread over 5 marla with dimensions of 26x45, this house features: 3 Spacious Bedrooms each with attached baths. 2 Elegant TV Lounges for family gatherings. Main Kitchen plus a Dirty Kitchen on the ground floor, both fitted with high-quality, imported fixtures. Solid Woodwork and Imported Fittings throughout the house. Solid Doors and Glass Wardrobes adding elegance to every room. Beautiful Chandeliers and modern design elements that enhance the aesthetic appeal. The master bedroom boasts Dual Washbasins for added convenience. The kitchen is equipped with an Automatic Hood, and the house features premium Imported Tiles. A dedicated Washing Area ensures practicality. The rooftop includes a usable room, offering extra space for various needs. All of this is available at a demand of 2 crore 70 lakh PKR. For more details, contact Rana Ehtisham at View Contact Detail . Bahria Enclave offers a secure, well-planned environment with modern amenities, making it an ideal choice for comfortable living.","Built in year: 2025, Parking Spaces, Double Glazed Windows, Central Air Conditioning, Central Heating, Flooring, Electricity Backup, Waste Disposal, Floors: 2, Other Main Features, Furnished","Bedrooms: 3, Bathrooms: 4, Servant Quarters: 1, Drawing Room, Dining Room, Kitchens: 2, Study Room, Prayer Room, Powder Room, Gym, Store Rooms: 2, Steam Room, Lounge or Sitting Room, Laundry Room, Other Rooms","Broadband Internet Access, Satellite or Cable TV Ready, Intercom, Other Business and Communication Facilities","Community Lawn or Garden, Community Swimming Pool, Community Gym, First Aid or Medical Centre, Day Care Centre, Kids Play Area, Barbeque Area, Mosque, Community Centre, Other Community Facilities","Lawn or Garden, Swimming Pool, Sauna, Jacuzzi, Other Healthcare and Recreation Facilities","Nearby Schools, Nearby Hospitals, Nearby Shopping Malls, Nearby Restaurants, Distance From Airport (kms), Nearby Public Transport Service, Other Nearby Places","Maintenance Staff, Security Staff, Facilities for Disabled, Other Facilities"
https://www.zameen.com/Property/fechs_jinnah_gardens_double_storey_house_is_available_for_sale-49808798-1420-1.html,"Jinnah Gardens, FECHS",House,PKR3 Crore,6,7 Marla,For Sale,5,1 week ago,"FECHS, Islamabad, Islamabad Capital","Now We Found A Beautiful And Luxury House In Jinnah Garden For You In Very Reasonable Price. This House Is Located In Great Location. This House Has 6 Bathrooms And 5 Bedrooms. 7 Marla properties are best for investment as well as living purposes. House you've been looking for is available at the best price, so take action today. Let us help you in your search for a property in Islamabad. Looking to building a home in this city in the near future? Surely, there is no better location than Jinnah Gardens. For an affluent property, the price of Rs. 30000000 isn't much to ask. Buying this property will open up the options for you. You can either keep it as an investment or make the perfect home for your family. Be a proud owner of your own property today. For sound investment advice and options, call us!","Built in year, Parking Spaces, Double Glazed Windows, Central Air Conditioning, Central Heating, Flooring, Electricity Backup, Waste Disposal, Floors: 2, Other Main Features, Furnished","Bedrooms: 3, Bathrooms: 3, Servant Quarters: 2, Drawing Room, Dining Room, Kitchens: 1, Study Room, Prayer Room, Powder Room, Gym, Store Rooms: 1, Steam Room, Lounge or Sitting Room, Laundry Room, Other Rooms","Broadband Internet Access, Satellite or Cable TV Ready, Intercom, Other Business and Communication Facilities","Community Lawn or Garden, Community Swimming Pool, Community Gym, First Aid or Medical Centre, Day Care Centre, Kids Play Area, Barbeque Area, Mosque, Community Centre, Other Community Facilities","Lawn or Garden, Swimming Pool, Sauna, Jacuzzi, Other Healthcare and Recreation Facilities","Nearby Schools, Nearby Hospitals, Nearby Shopping Malls, Nearby Restaurants, Distance From Airport (kms), Nearby Public Transport Service, Other Nearby Places","Maintenance Staff, Security Staff, Facilities for Disabled, Other Facilities"
