Scraped_URL,Type,Price,Bath(s),Area,Purpose,Bedroom(s),Added,Location,Description,Amenities: Main Features,Amenities: Rooms,Amenities: Business and Communication,Amenities: Community Features,Amenities: Healthcare Recreational,Amenities: Nearby Locations and Other Facilities,Amenities: Other Facilities,Initial Amount,Monthly Installment,Remaining Installments
https://www.zameen.com/Property/islamabad_g-13_house_for_sale_g-13-53337082-330-1.html,House,PKR10.75 Crore,6,1 Kanal,For Sale,6,1 week ago,"G-13, Islamabad, Islamabad Capital","House for Sale Size, (50x90)1 Kanal Soled Counstraction 50 Fit wide road Prime Location Reasonable price,","Built in year: 1990, Parking Spaces: 20, Double Glazed Windows, Central Air Conditioning, Central Heating, Flooring, Electricity Backup, Floors: 2","Drawing Room, Dining Room, Study Room, Prayer Room, Powder Room, Gym, Steam Room, Lounge or Sitting Room, Laundry Room","Broadband Internet Access, Satellite or Cable TV Ready, Intercom","Community Lawn or Garden, Community Swimming Pool, Community Gym, First Aid or Medical Centre, Day Care Centre, Kids Play Area, Barbeque Area, Mosque, Community Centre","Lawn or Garden, Swimming Pool, Sauna, Jacuzzi","Nearby Schools, Nearby Hospitals, Nearby Shopping Malls, Nearby Restaurants, Distance From Airport (kms), Nearby Public Transport Service, Other Nearby Places","Maintenance Staff, Security Staff, Facilities for Disabled, Other Facilities",,,
https://www.zameen.com/Property/islamabad_h-13_5_marla_double_storey_house_for_sale-50452213-1039-1.html,House,PKR2.4 Crore,6,5 Marla,For Sale,5,4 days ago,"H-13, Islamabad, Islamabad Capital",5 Marla Double Store 5 Bedrooms 2 Open Drawing Rooms 6 washrooms 2 Tv lounge 2 Kitchen Big Car Porch,"Built in year: 2025, Parking Spaces: 1, Double Glazed Windows, Central Air Conditioning, Central Heating, Flooring, Electricity Backup, Waste Disposal, Floors: 1, Other Main Features, Furnished","Bedrooms: 5, Bathrooms: 6, Servant Quarters: 1, Drawing Room, Dining Room, Kitchens: 2, Study Room, Prayer Room, Powder Room, Gym, Store Rooms: 1, Steam Room, Lounge or Sitting Room, Laundry Room, Other Rooms","Broadband Internet Access, Satellite or Cable TV Ready, Intercom, Other Business and Communication Facilities","Community Lawn or Garden, Community Swimming Pool, Community Gym, First Aid or Medical Centre, Day Care Centre, Kids Play Area, Barbeque Area, Mosque, Community Centre, Other Community Facilities","Lawn or Garden, Swimming Pool, Sauna, Jacuzzi, Other Healthcare and Recreation Facilities","Nearby Schools, Nearby Hospitals, Nearby Shopping Malls, Nearby Restaurants, Distance From Airport (kms), Nearby Public Transport Service, Other Nearby Places","Maintenance Staff, Security Staff, Facilities for Disabled, Other Facilities",,,
https://www.zameen.com/Property/islamabad_f-7_excellent_location_house_666_sq_yard_for_sale_in_f-7-53257512-165-1.html,House,PKR35 Crore,7,1.3 Kanal,For Sale,6,1 month ago,"F-7, Islamabad, Islamabad Capital","Excellent Location, House Size 666 Squire Yard (60 X 100) CDA Transfer. For Visit/more Detail Contact us. We have more OPTIONS in Sector F-6, F-7, F-8, E-7 & G-6",,,,,,"Nearby Schools, Nearby Hospitals, Nearby Shopping Malls, Nearby Restaurants, Distance From Airport (kms), Nearby Public Transport Service, Other Nearby Places","Security Staff, Other Facilities",,,
https://www.zameen.com/Property/faisal_hills_faisal_hills_-_block_a_book_your_1_bed_apartment_only_15_lac-53260507-12655-1.html,Flat,PKR77 Lakh,1,2.1 Marla,For Sale,1,2 weeks ago,"Faisal Hills, Islamabad, Islamabad Capital","Booking From 15 Lac 48 Monthly Installments Total Price Is 77 Lac Project By A Well-Known Developer Possession Within 3 Years High ROI Expected A Project Inspired By Namazi Street Baku Azerbaijan Unique Concept, First Time In Pakistan",,,,,,,,,,
https://www.zameen.com/Property/d_12_d-12_1_an_architect_designed_25x50_feet_house_in_d-12_1_for_sale-38630532-3154-1.html,House,PKR5.4 Crore,5,5 Marla,For Sale,5,1 week ago,"D-12, Islamabad, Islamabad Capital","Update: CDA has issued a completion certificate and the house is ready for move in. This Is An Owner-built House Located In Sector D-12 1 In The Scenic Foothill Of Margalla And Is Up For Sale Now. The House Is In A Very Spacious 50 Feet Street That Meets A Parallel 70 Feet Street At Its North End And 50 Feet Parallel Street At Its Sound End. This Newly Built Two-Floors 25 Feet X 50 Feet House Offers 5 Bedroom With 5 Attached 3 Piece Full Bathrooms Including 1 Studio Room On The Roof Top With Small Fully Operational Kitchen And A 3-piece Bath Room. There Is An Additional 2-piece Washroom Constructed Under The Stairs In The Porch Area Of The Ground Floor Built Next To The Ground Floor Drawing Area For The Guests Of The House. Each Floor Has A Separate Entry With A Separate Kitchen On Each Floor That Offers A Modern 3-burners Gas Stove With Powerful Well-lit Cooktop Blower That Creates A Bright Cooking Experience. Kitchen Also Includes A Stainless-steel Finish Double Basin Sink And Includes Many Close-door Cabinets With Black Granite Marble Countertop. The House Offers A Separate Dining Room And Living Room On Each Floor. The House Also Offers A Very Comfortable Layout With 28''x28'' Master Granite Tiles Floors Throughout The House. The Roof Offer Marble-chip Constructed Layout That Provides Excellent Sun Space During Winter And Protection From Heat During Summer. All Doors Are Constructed On The Site From Solid Wood. Each Bedroom Has A Large Closet That Also Offers Lots Of Storage Space. To Improve The Aesthetics Of The House, The Ceilings In The Entire Area Inside Of The House Is Crafted With A Ceiling System That Also Improves The Brightness Of Led Lights In The Living Room And The Dining Room As Well. All Windows Are High Quality Aluminum Protected By Very Strong Iron Grills From Inside Of The House. The House Also Offers A Wide Porch And A Long Driveway. A Single Floor Of The House Can Be Rented For Extra Income Or Both Floors Can Be Rented Out Separately, So The House Offers An Attractive Investment Opportunity Due To The Rising Levels Of Rents In This Well Sought-after Area Of The Capital. The House Has Access To Water Supply From Two Sources, from 200 feet Water Bore, and Second From the CDA water supply system. The Owner Can Also Be Reached Via WhatsApp on Listed Phone Numbers.","Built in year: 2022, Parking Spaces: 2, Double Glazed Windows, Central Air Conditioning, Central Heating, Flooring, Electricity Backup, Waste Disposal, Floors, Other Main Features, Furnished","Bedrooms: 4, Bathrooms: 5, Servant Quarters: 1, Drawing Room, Dining Room, Kitchens: 2, Study Room, Prayer Room, Powder Room, Gym, Store Rooms: 1, Steam Room, Lounge or Sitting Room, Laundry Room, Other Rooms","Broadband Internet Access, Satellite or Cable TV Ready, Intercom, Other Business and Communication Facilities","Community Lawn or Garden, Community Swimming Pool, Community Gym, First Aid or Medical Centre, Day Care Centre, Kids Play Area, Barbeque Area, Mosque, Community Centre, Other Community Facilities","Lawn or Garden, Swimming Pool, Sauna, Jacuzzi, Other Healthcare and Recreation Facilities","Nearby Schools, Nearby Hospitals, Nearby Shopping Malls, Nearby Restaurants, Distance From Airport (kms), Nearby Public Transport Service, Other Nearby Places","Maintenance Staff, Security Staff, Facilities for Disabled, Other Facilities",,,
https://www.zameen.com/Property/g_13_g-13_3_on_excellent_location-51297812-3339-1.html,House,PKR10.5 Crore,6,14 Marla,For Sale,7,2 weeks ago,"G-13, Islamabad, Islamabad Capital","This project is exclusively constructed and marketed by UNICON group, contact directly to save on dealer commisions. Brand New exclusively designed 2 portion UK Style House With A1 Grade Construction, Solid Wood Doors And White Aluminum Windows. contact us for further details. Margalla facing 30 ft steet House is ready for occupation. CDA completion approval complete. SIze: 40x80 Size CDA water supply Local amenities: Kids park: 2 minutes walking distance Mosque: 3 minutes walking distance Local Market: 2 minutes walking distance Portion 1: Drawing room Dining room Kitchen+Dirty Kitchen Tv Lounge 3 Beds+Toilets Portion 2: Drawing room Dining room Kitchen+Dirty Kitchen Tv Lounge 3 Beds+3 Toilets 1 additional toilet in stairway Servant Quarter Toilet Car Porsche parking: 3 cars Outside parking: 3 cars More Details Please Contact Us","Built in year: 2023, Parking Spaces: 3, Double Glazed Windows, Central Air Conditioning, Central Heating, Flooring, Electricity Backup, Waste Disposal, Floors, Other Main Features","Bedrooms: 7, Bathrooms: 7, Servant Quarters: 1, Drawing Room, Dining Room, Kitchens: 2, Study Room, Prayer Room, Powder Room, Lounge or Sitting Room","Broadband Internet Access, Satellite or Cable TV Ready, Intercom, Other Business and Communication Facilities","Community Lawn or Garden, Community Swimming Pool, Community Gym, First Aid or Medical Centre, Day Care Centre, Kids Play Area, Barbeque Area, Mosque, Community Centre, Other Community Facilities","Lawn or Garden, Other Healthcare and Recreation Facilities","Nearby Schools, Nearby Hospitals, Nearby Shopping Malls, Nearby Restaurants, Distance From Airport (kms), Nearby Public Transport Service, Other Nearby Places","Maintenance Staff, Security Staff, Facilities for Disabled, Other Facilities",,,
https://www.zameen.com/Property/bahria_enclave_bahria_enclave_-_sector_c1_c1_brand_new_house_is_available_for_sale-52315204-11987-1.html,House,PKR5.5 Crore,5,10 Marla,For Sale,5,1 month ago,"Bahria Town, Islamabad, Islamabad Capital","Brand new house is available for sale in sector c1 A plus Construction with Branded fittings Most prime And ideal Location for living Owner Built House Designer door's installed with Branded tiles Beautiful Front Elevation. Near to park Mosque Hospital & Main Entrance, All basic facilities Available such as; Water Gas (Slender) Electricity Maintenance Security 24/7. 5 Bedrooms with attached bath Drawing room Tv Lounge 2 stylish kitchens 1 Servant room with attached bath Car porch Reasonable price Contract us for more details;","Flooring, Electricity Backup, Waste Disposal, Other Main Features","Bedrooms: 2, Bathrooms: 2, Drawing Room, Kitchens: 1, Lounge or Sitting Room","Broadband Internet Access, Satellite or Cable TV Ready, Other Business and Communication Facilities","Mosque, Other Community Facilities",,"Nearby Schools, Nearby Hospitals, Nearby Shopping Malls, Nearby Restaurants, Distance From Airport (kms), Nearby Public Transport Service, Other Nearby Places","Maintenance Staff, Security Staff, Facilities for Disabled, Other Facilities",,,
https://www.zameen.com/Property/b_17_mpchs_-_multi_gardens_designer_house_for_sale_in_block_c1_-_mpchs_multi_garden_b17_islamabad_house_for_sale_in_cda_sector_islamabad-52115577-3115-1.html,House,PKR4.7 Crore,6,10 Marla,For Sale,5,3 days ago,"B-17, Islamabad, Islamabad Capital","10 Marla Luxury House for Sale in Multi Gardens B-17 Islamabad This 10 Marla double-unit house in the prestigious Block C1 of B-17 Islamabad is a dream home offering a combination of modern design, spacious interiors, and top-notch amenities. Property Overview: Location: Block C1, Open Facing (ideal for sunlight and ventilation). House Type: Double Unit (suitable for joint or large families). Plot Size: 10 Marla (250 sq. yards). Interior Features: Bedrooms: 5 spacious bedrooms, each with modern attached bathrooms. Kitchens: 2 fully equipped kitchens with high-quality fittings and ample storage space. TV Lounges: 2 stylish and spacious lounges for family gatherings. Servant Room: Located on the Mumty, providing convenience and privacy. Exterior Features: Car Porch: Space for up to 3 cars. Open Facing: Ensures a serene view and a brighter interior atmosphere. Proximity to Amenities: Park: Ideal for evening walks and childrens playtime. Masjid: A short walk away for daily prayers. Commercial Area: Nearby markets and shops provide everyday essentials. Construction Quality: A++ Quality Construction: Premium-grade materials used in construction. Modern architecture with sleek finishing and durable infrastructure. Flooring: High-quality marble/tile flooring throughout the house. Woodwork: Beautiful wood finishes for doors, cabinets, and wardrobes. Ceilings: Stylish false ceilings with LED lighting enhance the interior design. Additional Highlights: Prime Location: Easy access to the main road, ensuring connectivity to Islamabads key areas via GT Road and Motorway. Peaceful Living: B-17 is a gated community with 24/7 security, ensuring safety and a family-friendly environment. Investment Potential: High rental and resale value due to its ideal location and top-quality construction. Demand: PKR 4 Crore 70Lakh Why This House? This property is perfect for those who seek luxury, comfort, and convenience all in one place. With ample space, top-tier amenities, and a serene environment, its the perfect home for a growing family or an investment opportunity. Contact us now for further details or to schedule a visit!","Built in year: 2024, Parking Spaces: 2, Double Glazed Windows, Flooring, Electricity Backup, Waste Disposal, Floors: 2, Other Main Features","Bedrooms: 5, Bathrooms: 6, Servant Quarters: 1, Drawing Room, Dining Room, Kitchens: 2, Study Room, Prayer Room, Powder Room, Gym, Store Rooms: 1, Steam Room, Lounge or Sitting Room, Laundry Room, Other Rooms","Broadband Internet Access, Satellite or Cable TV Ready, Intercom, Other Business and Communication Facilities","Community Lawn or Garden, Community Swimming Pool, Community Gym, First Aid or Medical Centre, Day Care Centre, Kids Play Area, Barbeque Area, Mosque, Community Centre, Other Community Facilities","Lawn or Garden, Swimming Pool, Sauna, Jacuzzi, Other Healthcare and Recreation Facilities","Nearby Schools, Nearby Hospitals, Nearby Shopping Malls, Nearby Restaurants, Distance From Airport (kms), Nearby Public Transport Service, Other Nearby Places","Maintenance Staff, Security Staff, Facilities for Disabled, Other Facilities",,,
https://www.zameen.com/Property/b_17_mpchs_-_multi_gardens_8_marla_designer_house_for_sale_in_multi_gardens_b-17_mpchs_islamabad_fmc-52580936-3115-1.html,House,PKR3.95 Crore,6,8 Marla,For Sale,5,3 weeks ago,"B-17, Islamabad, Islamabad Capital","Discover luxury living in this beautifully designed 8 Marla house located in the prime sector of Multi Gardens B-17, MPCHS, Islamabad. FMC This modern home offers a perfect blend of style, comfort, and functionality, ideal for families seeking a high-standard lifestyle in a peaceful and secure environment. Key Features: Double Unit Designer House 5 Spacious Bedrooms with Attached Modern Bathrooms 2 Stylish Kitchens with Top-Quality Fittings 2 Elegant TV Lounges for Relaxation & Entertainment Drawing and Dining Rooms with Elegant Finishes Servant Quarter with Separate Entrance Solid Construction with High-End Finishing Car Parking Space Beautiful Terrace and Open Spaces Located near Masjid, Park, Schools, and Commercial Area 24/7 Security and Gated Community This house is perfect for families looking to move into a well-developed sector of Islamabad. Dont miss the opportunity to own a house that offers everything luxury, location, and lifestyle. Contact: Al Bakir Pvt Ltd Design, Construction & Real Estate","Built in year: 2025, Parking Spaces: 2, Double Glazed Windows, Flooring, Electricity Backup, Waste Disposal, Floors: 2","Bedrooms: 5, Bathrooms: 6, Servant Quarters: 1, Drawing Room, Dining Room, Kitchens: 2, Study Room, Prayer Room, Powder Room, Gym, Steam Room, Lounge or Sitting Room, Laundry Room","Broadband Internet Access, Satellite or Cable TV Ready, Intercom","Community Lawn or Garden, Community Swimming Pool, Community Gym, First Aid or Medical Centre, Day Care Centre, Kids Play Area, Barbeque Area, Mosque, Community Centre","Lawn or Garden, Swimming Pool, Sauna, Jacuzzi","Nearby Schools, Nearby Hospitals, Nearby Shopping Malls, Nearby Restaurants, Distance From Airport (kms), Nearby Public Transport Service","Maintenance Staff, Security Staff, Facilities for Disabled",,,
https://www.zameen.com/Property/f_10_f-10_2_f-10_corner_house_for_sale-53351099-3277-1.html,House,PKR32 Crore,6,1.6 Kanal,For Sale,6,6 days ago,"F-10, Islamabad, Islamabad Capital",F-10/2 Corner House For Sale Size 60x120 Prime Location 6 Bed Marble Floor,"Built in year: 2005, Parking Spaces: 5, Double Glazed Windows, Central Air Conditioning, Central Heating, Flooring, Electricity Backup, Waste Disposal, Floors: 2, Other Main Features, Furnished","Bedrooms: 6, Bathrooms: 7, Servant Quarters: 2, Drawing Room, Dining Room, Kitchens: 2, Study Room, Prayer Room, Powder Room, Gym, Store Rooms: 1, Lounge or Sitting Room, Laundry Room, Other Rooms","Broadband Internet Access, Satellite or Cable TV Ready, Intercom, Other Business and Communication Facilities","Community Lawn or Garden, Community Swimming Pool, Community Gym, First Aid or Medical Centre, Day Care Centre, Kids Play Area, Barbeque Area, Mosque, Community Centre, Other Community Facilities",Lawn or Garden,"Nearby Schools, Nearby Hospitals, Nearby Shopping Malls, Nearby Restaurants, Distance From Airport (kms), Nearby Public Transport Service, Other Nearby Places","Maintenance Staff, Security Staff, Other Facilities",,,
